PLOT ID,Fresh_weight,Leaf_area,CHL1,CHL2,CHL3,Dry_weight
3056,7.46,349,394.8,366,315.2,1.99
3057,9.2,353,428.9,373.4,304.2,2.01
4376,9.73,466,439.2,502.9,494.8,2.92
3223,6.13,327.7,147.8,202.2,229.8,1.67
3155,7.83,342.9,295.5,386.5,407.8,2.1
3271,12.31,447.2,380.8,274.7,481.9,3.79
4070,6.67,296.9,418,494.8,542.1,1.96
4114,12,484,464.2,456.5,534.8,3.35
2186,10.88,470.8,437.9,394,424.2,3.12
2441,6.1,359.5,211.7,272.5,253.4,1.77
2465,8.3,454.4,235,317.9,321.7,2.32
2096,8.5,436.7,174,287.8,304.2,1.97
2380,8.7,460,180.6,265.3,338.6,2.26
2449,9.3,466.7,224.6,366,390.3,2.46
2090,8.2,358.6,283.4,416.5,348,2.08
2402,7.6,372.8,199.6,309.7,323.5,1.72
2299,8.8,422.4,245.6,296.4,348.9,2.37
2462,9.43,471.9,239,297.3,310.8,2.32
2499,7.7,404.7,253.7,378,366.8,2.16
2461,9.85,445.1,221.9,332,474.6,2.56
2463,11.01,541.8,235,288.9,315.2,2.73
2362,19.8,608.3,317,336.7,380.8,3.22
2447,8.9,474.2,174.6,223.3,275.8,2.51
3321,7.77,338,287.8,385.7,366,1.98
2363,12.6,606.9,129.2,293.3,430.4,3.07
4097,6.15,259.32,306.4,472.7,403.8,1.64
4071,10.61,464.8,292.2,412.1,412.8,2.7
3055,11.21,495,367.7,272.5,249.5,2.71
3582,8.9,422,322.6,281,215,2.35
1460,,,,,,3.93
1462,,,,,,1.97
4036,6.66,330.11,236.4,370.1,345.1,1.68
4038,9.71,394.3,197,329.2,341.8,2.1
4084,6.96,312.5,303.1,315.2,376.1,1.87
4069,11.03,423,275.8,195.3,362.7,2.32
4046,8.83,414.9,364.4,426.8,407.1,2.35
4366,12.13,527.6,556.4,456.8,496,3.27
4086,8.64,344.6,467.5,585.9,542.1,2.18
4127,12.44,452.98,422.4,517.5,545.5,2.86
4055,12.03,534.1,371.8,413.6,454.3,3.31
4056,13.96,572.7,384.9,425.9,372.6,3.55
4049,12.5,512.8,391.8,496,538.9,3.1
4585,15.36,696.7,464.8,524.6,546.1,4.02
4577,13.79,561.7,564,583.8,614.5,3.77
4576,11.46,534.2,380.8,532.4,524.6,2.94
4574,11.19,525.11,445.7,503.5,541.1,3.12
4591,11.17,505.87,465.5,541.6,557.5,3.03
3108,,,,,,1.53
3109,,,,,,2.34
1469,,,,,,3.69
1470,,,,,,3.24
3288,,,,,,2.25
3351,,,,,,2.38
3566,,,,,,3.41
4514,9.7,472.9,310.8,343.2,472.7,2.51
4373,10.05,460,418,469.4,549.1,2.44
4583,14.11,587.4,450.8,361.9,580.3,3.79
4375,8.81,440,361.1,444.3,497.2,2.26
4047,12.41,515.16,383.2,440.6,513.3,2.95
4068,8.74,382.9,317.9,478.6,480.6,2.24
4050,8.18,345.25,410.7,417.2,456.3,1.88
1456,,,,,,3.09
4590,12.32,503.8,382.4,508.5,560.2,3.44
4478,12.04,545,360.1,523.4,557,3.32
1061,,,,,,1.69
2264,7.65,363.9,,,,1.9
3303,,,,,,3.38
3289,,,,,,1.99
3348,,,,,,2.29
3347,,,,,,1.99
3355,,,,,,2.05
4597,16.62,660.4,458.9,552,598.9,4.44
3232,,,,,,1.25
3231,,,,,,1.55
3230,,,,,,3.14
3324,12.3,508.5,352.7,387.4,394.8,2.91
3317,,,,,,2.83
3286,9.89,401.1,294.4,448.6,425.9,2.61
3318,10.24,379.83,321.7,297.3,304.2,2.59
3333,11.33,411,339.5,428.9,442.1,2.91
3285,8.75,416.9,364.4,407.1,416.5,2.45
3363,12.56,519,427.5,613.6,502.2,3.76
3201,8.9,408,168.4,243,254.7,2.38
3307,9.07,367.8,287.8,383.2,462.2,2.21
3557,7.53,389,237.7,258.3,306.4,2.09
3193,6.71,313,174,228.5,260.5,1.74
3372,,,,,,1.94
3343,,,,,,1.55
3354,,,,,,2.5
3292,,,,,,1.96
3349,,,,,,2.95
2421,10.3,477.4,356.4,418,424.3,2.91
2286,10,443.6,326.4,337.6,343,2.47
2419,11.7,504.1,246.9,368.5,421.8,2.8
2415,8.7,343,252.1,319.8,368.5,2.23
4088,5.79,262.7,305.3,450.1,437.9,1.49
4074,8.74,410,236.4,389.6,442.1,2.18
2409,8.4,429,228.5,306.4,341.4,2.15
2403,8.8,430.6,203.6,353.6,358.3,2.26
2440,10.2,507.5,273.6,339.5,357.3,2.84
4087,10.02,426.66,338.6,431.8,527.9,2.58
2099,13.9,593.3,290,331.1,383.2,3.57
4168,7.7,353,193.7,270.3,364.4,1.66
4078,4.99,235.2,253.9,314.1,297.3,1.36
1291,12.48,452,,,,2.86
1517,15.53,651,,,,4.17
4039,11.04,443.6,435.9,494.8,500.3,2.81
1292,10.06,398,,,,2.68
4040,9.82,397.7,387.4,472,485.9,2.69
1287,8.21,383,,,,2.13
1559,15.83,610,,,,4.13
1499,13.12,621,,,,3.74
1007,12.37,598,,,,3.19
1200,5.35,253,,,,1.35
1220,9.08,411,,,,2.24
3319,,,,,,3.65
4169,11.68,441.6,451.5,534.2,552,2.98
1575,12.66,574,,,,3.53
1270,8.01,344,,,,2.27
1558,13.4,598,,,,3.66
1157,13.81,556,,,,3.49
1217,9.74,453,,,,2.38
1490,12.05,578,,,,3.71
4037,12.1,398.9,469.4,508.5,541.1,3
4061,6.22,282.9,358.3,356.4,447.2,1.75
4159,11.09,444.5,3.32,351.7,402.1,2.77
3404,9.89,476,278.4,235,215,2.72
3276,7.98,340.6,303.1,454.3,470.7,2.38
3272,4.9,246.4,195.3,284.5,364.4,1.36
4098,10.32,455,365.2,462.2,526.8,2.71
4443,10.42,475.8,464.8,519.2,494.8,2.82
4442,8.87,420,421,538.4,531.2,2.44
4441,13.16,608.1,352.7,493.9,508.5,3.28
4448,10.86,488.79,355.5,422.4,534.8,2.77
4100,14.22,514.67,443.5,509.7,605.4,3.69
4048,8.63,406,395.6,418,483.2,2.29
3284,8.38,360,333,407.1,442.1,2.14
3185,6.91,350,389.6,273.6,205.2,1.8
4445,9.91,481.3,272.5,372.6,439.9,2.43
4059,8.38,327,373.4,478.6,465.5,2.1
4145,11.22,447.6,259.4,381.6,388.8,2.88
4058,10.73,456.75,274.7,385.7,443.5,2.69
3591,10.36,482,327.3,329.2,285.6,2.71
3583,8.7,453,310.8,271.4,178.9,2.27
3417,9.81,460,305.3,249.5,208.4,2.44
3418,9,446,306.4,300.2,258.3,2.34
3513,9.17,416,307.5,299.2,249.5,2.27
3594,11.26,539,389.6,338.6,282.4,3.11
3597,8.56,410,341.4,248.2,259.4,2.07
3598,9.63,395,428.9,445,399.6,2.34
3282,7.43,347.55,583.2,456.3,448.6,2.13
3600,9.96,400,534.8,407.1,388.8,2.66
3415,8.63,453,258.3,233.7,225.9,2.19
3226,,,,,,2.33
4571,15.3,577.8,440.6,593.4,615.1,4.21
3225,,,,,,2.07
4076,12.37,542.47,393.2,402.1,445,3.21
4045,12.96,510.37,351.7,433.9,491.1,2.39
3010,6.89,348,394.8,274.7,243,1.69
3009,10.22,403,437.2,441.3,323.5,2.41
3167,8.64,368,386.5,347,252.1,2.38
4067,11.77,430,518.1,581.3,604.4,2.92
3485,10.54,498,325.4,298.3,233.7,2.73
3586,7.06,376,285.6,236.4,205.2,1.78
3585,7.04,364,369.3,285.6,239,1.65
3270,7.6,352.4,239,304.2,397.2,1.96
3088,9.25,387,317.9,333.9,274.7,2.47
4372,7.5,327,354.6,458.2,426.8,1.92
4575,13.63,568,466.2,531.2,593.4,3.6
4473,11.12,535,439.9,583.3,572.8,3.02
4550,7.79,390,396.4,489.1,561.8,2.23
1529,,,,,,2.73
1568,14.85,591.9,,,,3.6
1562,15.6,627,,,,4.08
1522,12.16,510,,,,3.43
3153,6.89,319,235,305.3,324.5,1.97
1465,,,,,,2.51
3560,12.19,500,394.8,509.1,543.2,3.45
3152,4.85,189,273.6,141.3,401.3,1.16
3107,5.2,252.8,254.7,259.4,349.8,1.24
3268,6.15,304,258.3,290,339.5,1.55
1566,12.79,508.8,,,,2.74
3275,10.57,456,211.7,266.6,376.1,2.68
1530,,,,,,3.02
1538,,,,,,2.78
2261,7.84,394.9,,,,1.87
2082,12.2,519.6,356.4,407.1,525.2,3.31
2098,10.4,468.8,322.6,376.1,424.3,2.69
1468,,,,,,3.15
2097,6.1,290.2,166.4,231.1,308.6,1.43
1544,,,,,,3.61
1458,,,,,,4.17
2100,8.6,403.9,291.1,350.8,408.5,2.25
1284,,,,,,2.38
1457,,,,,,3.66
1461,,,,,,2.84
1555,12.33,554,,,,3.13
1556,9.57,431,,,,2.49
2418,10.6,434.1,250.8,298.3,387.4,2.66
1199,6.38,330,,,,1.77
1479,12.87,618,,,,3.17
2416,7.1,364.5,266.6,343.2,359.2,1.94
2413,,,,,,2.25
4081,7.48,368.7,248.2,368.5,264,1.83
3283,9.31,369,344.2,415,386.5,2.31
3281,7.8,433,202.2,306.4,389.6,2.62
3568,,,,,,2.3
1582,15.23,614,,,,3.82
1580,16.64,663,,,,4.1
3156,,,,,,2.04
3157,,,,,,2.5
3570,10,490,336.7,397.2,414.3,2.81
1500,12.46,562,,,,3.32
1263,10.62,494,,,,2.52
1261,11.71,475,,,,2.91
3110,7.64,337,195.3,267.9,319.8,2
3267,7.36,350.55,210.1,248.2,298.3,1.99
3154,7.8,272.9,371.8,412.1,400.5,1.48
1259,6.9,246,,,,1.49
1203,6.47,337,,,,1.8
3273,5.45,255.8,290,333.9,404.6,1.22
3274,8.38,398.5,225.9,286.4,328.3,2.08
3558,7.99,397,227.2,305.3,326.4,1.93
3345,11.99,486,294.4,332,425.1,2.99
3105,9.6,452,202.2,237.7,249.5,2.22
1253,8.89,378,,,,2.15
4444,15.36,609.2,521,592.4,611.5,3.76
4089,9.1,403.48,335.8,491.1,479.3,2.79
4545,9.61,467.3,394.8,476,527.9,2.61
4060,8.01,371.59,305.3,369.3,412.8,1.93
3191,9.66,446,333.9,185.5,284.5,2.19
2262,7.73,342,,,,1.9
1154,12.38,451,,,,3.07
1156,15.98,621,,,,3.62
3590,9.69,436,392.5,315.2,262.7,2.02
4570,15.69,623.6,455.6,514.6,574.5,4
1219,9.75,381,,,,2.06
3589,9.2,429,395.6,357.3,277.1,2.37
2260,7.5,311,,,,1.55
1019,15.13,535,,,,2.98
1265,10.42,458,,,,2.13
3588,8.4,402,361.9,384.1,307.5,2.08
3091,5.14,251,365.2,149.4,,1.21
4333,9.52,390.8,510.3,504.8,511.5,2.08
3077,6.79,322,221,168,198,1.58
3075,13.76,477,442.8,433.3,437.9,3.17
1252,12.15,483,,,,2.98
3071,7.43,360,428.9,375.2,296.4,1.77
3093,9.96,410,458.2,453,378,2.55
1255,10.23,500,,,,2.43
4589,11.62,525.8,377,478.6,517.5,2.99
3327,,,,,,2.34
4587,14.96,628,493.6,585.4,577.2,4.11
4476,17.42,684.8,459.6,558.1,577.2,4.74
3569,,,,,,1.74
3051,6.81,322,440.6,384.9,345.1,2.01
3099,8.75,419,515.7,357.3,345.1,2.25
3014,13.05,470,489.1,477.9,418,3.34
4479,11.3,532.8,435.9,526.8,522.8,3.04
3017,10.44,431,533.6,493.6,401.3,2.64
3571,9.48,453,317,385.7,415.8,2.6
4090,9.93,382.89,429.6,470.1,359.4,2.51
3315,13.08,560,279.7,273.6,235,3.13
2331,7.9,385,249.5,334.9,420.2,1.88
2411,7.41,356.5,193,207.4,345.1,1.56
3194,9.25,380,355.2,470.1,525.4,2.32
3563,,,,,,2.58
2410,7.7,481.3,245.6,334.9,375.2,2.59
2400,10.7,504.8,245.6,366.8,412.8,2.87
2333,7,361.9,264,371.8,396.4,1.86
2329,8.5,386.9,206.8,215,261.6,2.45
2334,7.9,322.5,264.4,344.2,388.1,1.92
2464,10.33,472.5,335.8,408.5,393.2,2.68
3567,,,,,,2.29
3565,,,,,,1.88
3564,,,,,,2.17
1232,9.26,346,,,,1.94
1229,9.87,393,,,,2.4
3200,,,,,,2.22
3581,6.31,344,266.6,229.8,203.6,1.58
3245,10.2,433.8,321.7,389.6,421,2.64
3123,8.81,351,334.9,400.5,306.4,2.14
3580,6.96,377,304.2,309.7,284.5,1.85
3559,12.3,592.7,347,413.6,447.9,3.35
3238,8.45,369,431.1,455.6,454.9,2.09
1561,15.18,588,,,,4.08
1518,11.2,583,,,,2.46
1005,7.73,366,,,,1.74
1293,13.05,597,,,,3.05
1299,9.26,378,,,,2.33
3124,10,433,264,410.7,478.6,2.42
1540,14.21,577,,,,3.77
1520,14.1,556,,,,3.73
3316,9.65,428,301.1,381.6,375.2,2.37
2191,11.17,459.57,341.4,392.5,439.2,2.89
2422,7.9,406.4,267.9,304.2,292.2,1.94
3224,8.16,374,304.2,741.3,411.4,2.18
3242,6.52,286,264,330.1,321.7,1.62
2089,9.6,452.9,236.4,323.5,381.6,2.56
2541,7.9,411.4,260.5,352.7,361.4,2.06
2185,10.02,450.7,293.3,333.9,330.1,2.43
1563,11.9,546,,,,3.02
2077,11.3,544.3,231.1,245.6,334.9,2.84
2301,5.41,230.1,233.7,278.4,261.6,1.23
4035,6.62,302.23,418,463.5,434.6,1.66
4057,9.28,398.7,342.3,390.3,417.2,2.21
4506,18.52,670.39,506.1,621.7,617.2,4.93
2460,8.8,454.4,220.6,345.1,359.2,2.29
2500,9.39,499.8,278.4,341.4,421,2.73
4586,12.05,510.3,491.1,490.4,562.9,3.24
4099,14.91,596.4,330.1,374.3,462.2,3.77
4331,9.6,420.2,363.5,461.5,482.6,2.25
4335,11.85,545.3,337.6,376.1,494.8,2.64
3587,7.96,390,426.8,366.8,332,2.18
3322,6.06,321,213.4,228.5,283.4,1.58
3192,5.79,292,303.1,300.2,365.2,1.81
1567,12.79,575,,,,3.52
4199,7.33,312.16,300.2,359.2,396.4,1.98
4584,16.42,626,465.3,512.1,596.3,4.73
4374,10.91,476,411.4,531.2,571.7,3.01
4371,10.23,442,447.9,524.4,597.9,2.82
4370,11.16,509.28,497.8,611.1,601.4,3.21
3309,9.54,417,265.2,278.4,315.2,2.37
3599,6.95,344,324.5,326.4,282.4,1.82
